,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SPAC1002.01,mrx11,231.355143384882,0.0990309424533151,0.188791989681493,0.524550552279194,0.599895668803422,0.719492569622378
SPAC1002.02,pom34,2152.28475704406,0.0117764274192043,0.0755778893105318,0.155818421586474,0.876176149659414,0.922035620402472
SPAC1002.03c,gls2,8820.51159280501,-0.173366239494737,0.0643658020433558,-2.69345264085981,0.00707161911668923,0.0210840067952134
SPAC1002.04c,taf11,1312.08913394688,-0.160187401742678,0.0833462971761556,-1.92194983064593,0.0546120708039191,0.115851364853649
SPAC1002.05c,jmj2,1077.89831648599,0.0838592917256905,0.0952358740527763,0.880543099538506,0.378565167666584,0.517070253729686
SPAC1002.06c,bqt2,15.8704090161201,2.09201442928526,0.847873466666047,2.4673663129374,0.0136111035916664,0.0368643726509493
SPAC1002.07c,NA,4657.2414174431,-0.340456303099393,0.0719489293942956,-4.73191617951143,2.22410257824817e-06,1.7401528828264e-05
SPAC1002.08c,mtf1,1777.72455196471,0.0870711495317195,0.0832567278396143,1.04581517663597,0.295646372783373,0.431251164078396
SPAC1002.09c,dld1,13204.8069585085,-0.510995061961021,0.0563231049615627,-9.07256555386544,1.16247005143507e-19,8.23206498844277e-18
SPAC1002.10c,sgt1,1884.1171913357,-0.141582089329972,0.0729889034395346,-1.93977553652743,0.0524069749426792,0.11207169598244
SPAC1002.11,gaa1,1571.76886987982,-0.106689532331978,0.100847367496899,-1.05793076190371,0.290087009473912,0.425093893677469
SPAC1002.12c,NA,3599.25189950377,0.092300671392062,0.100801798625311,0.915664925138409,0.359842666970982,0.497355889033239
SPAC1002.13c,psu1,29670.6782735677,-0.374728650634017,0.0783177756131073,-4.78472029753744,1.71225605812703e-06,1.39464196734479e-05
SPAC1002.14,itt1,2472.92533314123,-0.129265421700623,0.0750233783321899,-1.72300187720498,0.0848881855683097,0.164796027090705
SPAC1002.15c,med6,1568.16682437093,-0.272239077425468,0.076930127615588,-3.5387836451516,0.000401975165045803,0.00174684450916887
SPAC1002.16c,tna1,326.665167696603,-0.368239982961365,0.183938635663583,-2.00197191651928,0.0452877520078505,0.0993310765088344
SPAC1002.17c,urg2,5016.05847145779,-2.75479757879568,0.385590333042446,-7.14436370087222,9.041371965841e-13,2.42221622930651e-11
SPAC1002.18,urg3,5140.43837454808,-1.51766308944684,0.0979195531399373,-15.4990810392889,3.51889154322735e-54,3.26025301480014e-51
SPAC1002.19,urg1,5722.0941756912,-1.8854658511582,0.35209727882172,-5.35495717964035,8.55766809287231e-08,9.38305264857538e-07
SPAC1002.20,NA,41.5562765587373,0.568261839040397,0.458409809255965,1.2396371708597,0.215109625609202,0.340100798851409
SPAC1006.01,psp3,8256.64626121393,0.384846366477218,0.101418604818673,3.7946328207264,0.000147862111935387,0.000729015947005601
SPAC1006.02,asa1,1605.8488262258,-0.512592763902771,0.071401138650039,-7.17905587493724,7.01944565286832e-13,1.92222159528547e-11
SPAC1006.03c,red1,3603.57422731743,-0.0677664931970462,0.0675313062393154,-1.00348263599252,0.315628050751555,0.452315981224429
SPAC1006.04c,mcp3,374.321895796436,0.1212828037235,0.130599595517988,0.928661403907609,0.353064588840238,0.491408625278638
SPAC1006.05c,och1,2209.5592427407,-0.0501605629844325,0.0824937765532118,-0.608052692945594,0.543152526560261,0.671613014712928
SPAC1006.06,rgf2,6055.79082047298,-0.124478016206305,0.0844284834484792,-1.47436044237683,0.1403845692307,0.245176820720535
SPAC1006.07,tif1,87836.563156601,-0.272901246225427,0.0621835271287111,-4.38864211836296,1.140605876513e-05,7.51259249708029e-05
SPAC1006.08,etd1,1724.97695504161,-0.0400232530268045,0.111391748260525,-0.359301776404456,0.719369345565165,0.81255190328086
SPAC1006.09,win1,4935.27211705234,-0.0400410493200943,0.0850962757031505,-0.470538210858643,0.637970541116096,0.750736290868835
SPAC1039.01,NA,1803.69398970164,-1.28954982629185,0.0971704656349022,-13.2710059364855,3.40972588021518e-40,1.45805124370124e-37
SPAC1039.02,NA,12667.3535202627,-2.07336494615693,0.0999961259500326,-20.7344527246283,1.69370465466284e-95,9.41530417527072e-92
SPAC1039.03,NA,2280.34501504561,-0.131574063850096,0.0748619727683906,-1.75755539140229,0.0788231891584666,0.155382307990041
SPAC1039.04,NA,1239.69884251328,-0.560229198274544,0.0894405109581154,-6.26370748862221,3.75930366326047e-10,6.50014589862051e-09
SPAC1039.05c,klf1,1606.30327895123,-0.702993955329365,0.093500498128097,-7.51861187270097,5.53608634464198e-14,1.77378120979048e-12
SPAC1039.06,NA,2199.52714352735,-0.635482296977252,0.0821422258500268,-7.73636568039316,1.02298952171469e-14,3.75366254205409e-13
SPAC1039.07c,NA,1616.84863083283,-0.413593406228953,0.0915625201593793,-4.51706009739605,6.27041136900688e-06,4.37355292350179e-05
SPAC1039.08,NA,548.710212043651,-0.833939914361332,0.153844651664027,-5.4206623716925,5.93786117417601e-08,6.70905899740741e-07
SPAC1039.09,isp5,581.080907368814,-0.790497624490121,0.181877266221897,-4.34632453473148,1.38437697942707e-05,8.90196833850209e-05
SPAC1039.10,mmf2,250.905742168065,-0.419391934430363,0.212535684449524,-1.97327773694382,0.0484639279555936,0.105053997077459
SPAC1039.11c,gto1,2243.96229259102,-0.250868649407753,0.0719269283828594,-3.48782653518034,0.000486963897926237,0.00207118003716293
SPAC105.01c,kha1,2547.58268137463,-0.114138933205895,0.0872689159125594,-1.30789906133655,0.190907547955495,0.311583986812858
SPAC105.02c,NA,7000.57540332354,-0.0594198939932351,0.062634309920973,-0.948679630512516,0.342783577024529,0.480733042442508
SPAC105.03c,NA,3701.47369128087,-0.231103133001286,0.059774556938008,-3.86624585508786,0.000110523523388399,0.000563928652148795
SPAC1071.01c,pta1,5854.81435661896,-0.128838690276629,0.0537071840240964,-2.39890980355299,0.0164439646496491,0.0431392163697023
SPAC1071.02,mms19,2846.91673676448,-0.292570839521153,0.0779820305029491,-3.75177252546775,0.000175588746465835,0.000849519444389538
SPAC1071.03c,sil1,3758.89063510425,-0.334614363362088,0.0734055319882656,-4.55843523367665,5.15361519730465e-06,3.65653438185278e-05
SPAC1071.04c,spc2,360.344051495067,-0.443372109251865,0.142538267868518,-3.11054789623826,0.00186740608192354,0.0066715362528361
SPAC1071.05,hpm1,3741.19925975932,-0.345566007650533,0.0912530320734985,-3.78689890953105,0.000152539122022325,0.000749416685216177
SPAC1071.06,arp9,3735.34101485263,-0.306282066674518,0.0557449920689306,-5.49434227734376,3.92169233905679e-08,4.61878976966456e-07
SPAC1071.07c,rps1502,34274.8019417541,-0.473453943344436,0.0925712349877163,-5.11448230551597,3.14602577755595e-07,3.04152300824931e-06
SPAC1071.08,rpp203,10971.5793347163,-0.511397488192141,0.142925587250704,-3.57806812642375,0.000346143239409348,0.00153018709175075
SPAC1071.09c,NA,2022.75870538993,-0.0968348706308192,0.100331947635459,-0.965144930532539,0.334472225151899,0.472511079954106
SPAC1071.10c,pma1,169688.305677596,-0.429367832253327,0.10217319969018,-4.2023528044076,2.64155011836212e-05,0.000159612794651902
SPAC1071.11,NA,1749.39895864972,-0.267085004567076,0.0745986722038437,-3.58029166842617,0.000343210891573477,0.0015196410563576
SPAC1071.12c,stp1,1440.52424317137,-0.447054045411211,0.0872363765317543,-5.12462877511289,2.98124535868584e-07,2.89733268338018e-06
SPAC1071.13,NA,826.153660514017,-0.0119441346131272,0.128946554137068,-0.0926285676500575,0.926198647608582,0.955157518213696
SPAC1093.01,ppr5,5652.2677002204,0.22054836279991,0.0773541351693868,2.85115155533653,0.00435612011703902,0.0138723887821705
SPAC1093.02,pdx3,4494.33541023645,-0.16780355800627,0.0721531722772993,-2.32565738567068,0.0200368355623958,0.0508930608375811
SPAC1093.03,fig4,2938.17525160546,-0.211984262082707,0.063814420152206,-3.32188651996047,0.000894110496112576,0.00351014141800128
SPAC1093.04c,cca1,2392.54483361751,-0.440178812474093,0.0673406743140802,-6.53659644720926,6.29345595738583e-11,1.28386501530671e-09
SPAC1093.05,hca4,5314.25363794245,-0.430090350455882,0.0591091513000376,-7.27620581579234,3.43339648405052e-13,9.73788319124328e-12
SPAC1093.06c,dhc1,1519.70188955055,-0.205580377773999,0.109252663071904,-1.8816967201861,0.0598772053233389,0.125016857987771
SPAC1093.07,NA,474.128030198529,0.971609199840868,0.143477713401052,6.77184753512908,1.27148096655801e-11,2.88496436452898e-10
SPAC10F6.01c,sir1,30453.891863123,-0.559402018742415,0.103036778280401,-5.42914897067218,5.66234061163945e-08,6.43700438856926e-07
SPAC10F6.02c,prp22,3933.74842132886,-0.344141762690441,0.0701947426861479,-4.90267147540029,9.45420241323151e-07,8.19265958147373e-06
SPAC10F6.03c,cts1,24491.9555880298,-0.495048533337023,0.0703113715985684,-7.04080324536157,1.91134745970837e-12,4.89349209397351e-11
SPAC10F6.04,ats1,1773.41392372024,-0.0120180504314843,0.0777239699673143,-0.154624762946853,0.87711714677534,0.922765342084327
SPAC10F6.05c,ubc6,3441.97273613312,0.262817773285271,0.0966210326836692,2.72008863893765,0.00652644190554966,0.0196962489429699
SPAC10F6.06,vip1,29921.5228168969,0.521542002870338,0.0949944395632504,5.49023716828265,4.0139438794431e-08,4.71246336342644e-07
SPAC10F6.07c,mug94,459.57249359596,-0.483722114913119,0.118338032538431,-4.0876301940885,4.35802111374783e-05,0.000248385854147066
SPAC10F6.08c,nht1,1232.38942398744,-0.433868955662524,0.0913240769126279,-4.75087151526993,2.02541802193094e-06,1.6136785604265e-05
SPAC10F6.09c,psm3,2924.67859671205,-0.0695311580818497,0.0809105908522794,-0.859357932619657,0.390143071185564,0.529428861887112
SPAC10F6.10,rio1,2697.51060881108,-0.516183565435635,0.0800122799681146,-6.45130429530739,1.10891584982283e-10,2.1591815093398e-09
SPAC10F6.11c,atg17,3256.48681564956,0.0624040992581218,0.0986504571448778,0.632577902467043,0.527009321151939,0.658604137457189
SPAC10F6.12c,mam4,1458.04191271366,-0.557515927887086,0.0876917271304064,-6.35767986480645,2.04823775673898e-10,3.76006892784751e-09
SPAC10F6.13c,caa1,8186.67785214469,-0.193604480956366,0.0747372961565072,-2.59046675372012,0.00958458790710362,0.027443071942101
SPAC10F6.14c,NA,2804.4341629764,-0.148986923603064,0.0610946270699784,-2.43862563286315,0.0147432329369659,0.0393365163890537
SPAC10F6.15,NA,39.1684787056388,1.27220531653625,0.44619789955243,2.85121314513666,0.00435527638090798,0.0138723887821705
SPAC10F6.16,igo1,6356.58023115662,-0.324770669131997,0.0835965586906453,-3.88497653753706,0.000102339771208835,0.000530202039282305
SPAC10F6.17c,NA,3537.13071429722,-0.138027012453663,0.0674692836573651,-2.04577557329075,0.0407784563541364,0.0915169313171757
SPAC110.01,ppk1,1863.29967857819,-0.898932051633931,0.126566420705038,-7.1024529778628,1.22561737953601e-12,3.19119766409399e-11
SPAC110.02,pds5,2097.21577175325,-0.184973584892206,0.0820885268231985,-2.25334272706099,0.0242375476899523,0.0596443238638535
SPAC110.03,cdc42,10502.0536745182,-0.283838010806385,0.0508754392501259,-5.57907735028907,2.41797706501182e-08,2.9608101561506e-07
SPAC110.04c,pss1,68699.1492803427,-0.345455507895526,0.0739553537282087,-4.67113590133177,2.99538670123557e-06,2.25781080300591e-05
