,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SPNCRNA.1706,prl106,20.6750990270812,-21.2186604834486,3.82665494203984,-5.54496310872957,2.9401615434796e-08,5.29768557008618e-07
SPNCRNA.4531,NA,7.25465925577607,-5.8512993772506,1.52430019960632,-3.83867913863805,0.00012369795055024,0.00100389576396971
SPNCRNA.6798,NA,6.28063957823644,-5.7674580475855,1.57241303958437,-3.66790270901722,0.000244548196886825,0.00182205105722961
SPNCRNA.1641,vps13a-antisense-2,263.162879857979,-4.25716939457252,0.250362158538909,-17.004044938009,7.66440708919916e-65,2.68801705771199e-62
SPNCRNA.2111,NA,186.574974571808,-4.11947942874584,0.288785786470533,-14.2648275010106,3.6248714265017e-46,7.73831248005363e-44
SPNCRNA.4532,NA,14.5397593716381,-4.07952435055105,1.07011071006755,-3.8122451370415,0.000137710196720703,0.00110573518544342
SPNCRNA.4497,NA,21.4523980813671,-3.51685265766107,0.797694368363437,-4.40877207755183,1.03958360225354e-05,0.000112430737600548
SPNCRNA.7085,NA,16.2909513949174,-3.26400911344076,0.724745209855148,-4.5036642796068,6.67916918647701e-06,7.56510281559449e-05
SPNCRNA.2553,NA,69.7052733392151,-2.83088814581446,0.380911785971988,-7.43187333673797,1.07070306732638e-13,3.8655529857151e-12
SPNCRNA.1307,SPBPB10D8.02c-antisense-1,448.482538738018,-2.80334897336033,0.217203321219315,-12.9065658739616,4.13327090559807e-38,5.96892945484898e-36
SPNCRNA.3380,NA,271.72674192867,-2.69460928281842,0.280182202298526,-9.6173463578796,6.75513515245218e-22,4.73824479979146e-20
SPNCRNA.1371,SPBC354.08c-antisense-1,428.407044400729,-2.66433389963326,0.195683160652068,-13.6155502126755,3.23698670093798e-42,5.88652025985388e-40
SPBC359.02,alr2,2960.58513732836,-2.63389974225671,0.151785850433995,-17.3527356780998,1.88070765500369e-67,7.55671859772271e-65
SPCC736.08,cbf11,3315.5956474282,-2.6127064427527,0.137679418291356,-18.9767394079463,2.65574431867707e-80,1.44885606718938e-77
SPNCRNA.4569,NA,13.1722358398541,-2.54334706451924,0.751989873130182,-3.38215600421914,0.000719192893377558,0.00465248630630278
SPNCRNA.6014,NA,11.1943811388614,-2.43767274947639,0.87765438144208,-2.77748599109257,0.00547812014790015,0.0264739861478245
SPNCRNA.7761,NA,61.0781872356181,-2.26703375504057,0.804460555134795,-2.8180794453753,0.00483118543647098,0.0239365494380147
SPNCRNA.7403,NA,8.3022523477802,-2.26459102584267,0.874453363411071,-2.58972190010104,0.00960534944598498,0.0418847831081583
SPNCRNA.6675,NA,48.3080662032532,-2.24576776961292,0.777693830178367,-2.88772738379298,0.00388036025154053,0.0200026969396997
SPNCRNA.4550,NA,13.9416002527601,-2.14449447423407,0.661589004484165,-3.24143004145922,0.00118931621434196,0.00725409020176274
SPNCRNA.5816,NA,16.2219386939922,-2.1262220871743,0.623908642587148,-3.40790612926525,0.000654634106832393,0.00427427322413172
SPNCRNA.3105,NA,28.710059386584,-2.09968087440307,0.527239812024397,-3.98240198580815,6.82222627426598e-05,0.000597096809387629
SPNCRNA.6668,NA,38.7637395530218,-2.07330526149206,0.718585748669335,-2.88525797419636,0.00391093042740227,0.0201285832269866
SPNCRNA.577,SPBC1652.02-antisense-1,398.244641363567,-2.01226962819855,0.187259565364748,-10.7458843252093,6.19652311233536e-27,5.58255568469112e-25
SPNCRNA.6829,NA,14.4797626700634,-1.99045238129992,0.767374563801198,-2.5938472229783,0.00949086503515652,0.0414961240628838
SPNCRNA.7772,NA,33.6451266872248,-1.97692660522509,0.694466769007064,-2.84668279815845,0.00441773575130773,0.022247264142483
SPNCRNA.6762,NA,29.3257895484647,-1.85098413625944,0.670064955285342,-2.76239508074438,0.00573790000094142,0.0274725392536542
SPAC186.01,pfl9,289.392998332607,-1.83507798574241,0.199482244932685,-9.19920460270365,3.60609088708085e-20,2.22715801956818e-18
SPNCRNA.7638,NA,11.0402637238737,-1.83021161442012,0.708246854681046,-2.58414365319609,0.0097621124699127,0.0424364517284385
SPNCRNA.1626,NA,5323.25694608601,-1.8299507004947,0.159544904739498,-11.4698159962088,1.87056603220586e-30,1.98472705017007e-28
SPNCRNA.3104,NA,13.9271477363809,-1.8124326287797,0.67640929619811,-2.67949101079306,0.00737341830070352,0.0337876657549736
SPNCRNA.4432,NA,23.9518781726586,-1.80788965904456,0.512926831139079,-3.5246541013066,0.000424036095155845,0.0029574108341125
SPNCRNA.7399,NA,48.8572110804462,-1.79768217761321,0.390091524564538,-4.60835999864386,4.05857511551638e-06,4.84267407465016e-05
SPCC1281.06c,ole1,42959.2222593184,-1.79128783365293,0.138585065823163,-12.9255473741928,3.22989767147915e-38,4.73396942297392e-36
SPNCRNA.3155,NA,131.281999103164,-1.74652743719525,0.283130108096601,-6.16863903643676,6.88802679637737e-10,1.59906437684222e-08
SPNCRNA.4567,NA,21.1847948112443,-1.72766327673352,0.617689845099121,-2.79697535978802,0.00515834670677422,0.0251671495047004
SPNCRNA.1310,NA,109.465457089715,-1.72633988687692,0.346874809039009,-4.97683844975546,6.46312194098962e-07,9.01532066200541e-06
SPAC869.01,NA,19.1811485208417,-1.67091286861639,0.601815810622595,-2.77645226184368,0.00549557047431198,0.0265452543323874
SPAC56E4.04c,cut6,28459.1721431995,-1.64497562630368,0.213622759177347,-7.70037627375668,1.35666143231431e-14,5.37194163924458e-13
SPBC359.03c,aat1,5458.8189005346,-1.61205910276496,0.168634041052103,-9.55951178485298,1.18313501802343e-21,8.01267991516559e-20
SPNCRNA.2305,NA,61.70702977021,-1.61086743344193,0.374709214829737,-4.29898003488888,1.71585926769431e-05,0.000174608684028582
SPBPB10D8.03,NA,361.522610679981,-1.60701875156764,0.180623925405309,-8.8970425593486,5.73545114026081e-19,3.35250774984292e-17
SPNCRNA.4026,NA,15.1769789645748,-1.58995378128744,0.593730140719784,-2.67790646329649,0.00740839037920167,0.0339004629654056
SPNCRNA.117,NA,16.7945804538871,-1.57151287154035,0.591212465734186,-2.65811863352508,0.00785782273420566,0.0356744425565879
SPAC683.02c,NA,2532.01636348033,-1.56889467195913,0.199877602572484,-7.84927701636897,4.18442439538735e-15,1.72651460347495e-13
SPAC3A11.07,nde1,18068.876469086,-1.56690669199772,0.111692094936481,-14.028805645456,1.03886412694422e-44,2.08196851563106e-42
SPNCRNA.7448,NA,458.384709884107,-1.55911448206123,0.200541669765704,-7.77451630817057,7.57362338171731e-15,3.06061652709728e-13
SPBC1778.04,spo6,198.994186851741,-1.55344750522117,0.20671084774307,-7.51507490865704,5.68783572471316e-14,2.09979499310839e-12
