,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SPAC1002.01,mrx11,231.355143384882,-0.00229768764162546,0.11328332097802,-0.0202826649306236,0.983817884324837,0.996491866731598
SPAC1002.02,pom34,2152.28475704406,-0.160094609875811,0.0459490950407765,-3.48417329511579,0.000493659740929017,0.00133438752490052
SPAC1002.03c,gls2,8820.51159280501,-0.301739268484392,0.0412132087977063,-7.32142139102707,2.45358037628884e-13,1.41717360577198e-12
SPAC1002.04c,taf11,1312.08913394688,-0.0254791504793765,0.0465090147397546,-0.547832514232937,0.583806910744746,0.698458481899088
SPAC1002.05c,jmj2,1077.89831648599,0.18300685495451,0.0558426438270237,3.2771882277169,0.001048464489429,0.00270557605682395
SPAC1002.06c,bqt2,15.8704090161201,1.22905273991035,0.374201039451252,3.28447174201518,0.00102173743592187,0.00264094040351287
SPAC1002.07c,NA,4657.2414174431,0.316462832539677,0.0434471608803255,7.28385528829762,3.24413001643256e-13,1.86522649025236e-12
SPAC1002.08c,mtf1,1777.72455196471,-0.1021766489911,0.0515668107962587,-1.98144208286996,0.0475417183664827,0.089025724479064
SPAC1002.09c,dld1,13204.8069585085,0.00872284041403234,0.0354308624196259,0.246193285128747,0.805532613314011,0.876154269020427
SPAC1002.10c,sgt1,1884.1171913357,0.0188419907775258,0.0438747001235743,0.429450018449285,0.667595760021244,0.770208607948208
SPAC1002.11,gaa1,1571.76886987982,-0.0872884179163474,0.0631270187037816,-1.38274259910707,0.166743805010638,0.260091390828744
SPAC1002.12c,NA,3599.25189950377,0.796813967326768,0.0607958443792429,13.1063886925603,3.02670962351999e-39,5.23741500190943e-38
SPAC1002.13c,psu1,29670.6782735677,-0.550668205507088,0.05037067752082,-10.9323168281681,8.07597393470581e-28,9.26968541045613e-27
SPAC1002.14,itt1,2472.92533314123,0.160318794482498,0.0442541495160532,3.62268388921004,0.000291562048189353,0.000816166125105042
SPAC1002.15c,med6,1568.16682437093,-0.386333122482247,0.0467142379849914,-8.27013645403722,1.33805780992996e-16,9.21838294026228e-16
SPAC1002.16c,tna1,326.665167696603,-0.423755806007467,0.111468224932135,-3.80158387078883,0.000143774053333129,0.000415215241260506
SPAC1002.17c,urg2,5016.05847145779,-0.517485955598538,0.247565279694494,-2.09030101570437,0.0365907681040563,0.0705675092363986
SPAC1002.18,urg3,5140.43837454808,-0.603088140181067,0.061618333538579,-9.78747891329251,1.27433620507195e-22,1.17616650475459e-21
SPAC1002.19,urg1,5722.0941756912,0.25041409574768,0.226050036696613,1.10778170801081,0.267956101751188,0.381106586775573
SPAC1002.20,NA,41.5562765587373,1.10877259643828,0.252371543774331,4.3934136941752,1.11584499554739e-05,3.64605975168473e-05
SPAC1006.01,psp3,8256.64626121393,1.0098088404534,0.0635372194983374,15.893185890513,7.06440731288844e-57,2.15704475718778e-55
SPAC1006.02,asa1,1605.8488262258,-0.251156243215457,0.0408152293654992,-6.15349336803575,7.57945478067644e-10,3.50035026214793e-09
SPAC1006.03c,red1,3603.57422731743,-0.0770930137471138,0.0412603785265044,-1.86845144180128,0.0616991724825138,0.111921498173039
SPAC1006.04c,mcp3,374.321895796436,-0.127629846056779,0.0785751109311419,-1.62430373364189,0.104311000802576,0.175973231875607
SPAC1006.05c,och1,2209.5592427407,0.0281801512596567,0.0511887243207346,0.550514818128452,0.581966316151538,0.696653940164273
SPAC1006.06,rgf2,6055.79082047298,-0.0293659779501351,0.0540268931867874,-0.543543709770761,0.586755504505207,0.701185926348961
SPAC1006.07,tif1,87836.563156601,-0.486683257248933,0.0399841786598373,-12.1718958238297,4.38771571207774e-34,6.4183097276672e-33
SPAC1006.08,etd1,1724.97695504161,-0.299008253133178,0.0695384354344426,-4.29989905963685,1.70875921440449e-05,5.49353205142052e-05
SPAC1006.09,win1,4935.27211705234,-0.0871482557593243,0.0540851478792075,-1.61131584504417,0.107110898932008,0.180020722587129
SPAC1039.01,NA,1803.69398970164,-0.94611236756851,0.0599438195130938,-15.7833180343446,4.05309779297033e-56,1.21111568255503e-54
SPAC1039.02,NA,12667.3535202627,-1.33834652133784,0.0640550252788525,-20.8937006192969,6.10968026812279e-97,4.49472384637338e-95
SPAC1039.03,NA,2280.34501504561,-0.0716185728034753,0.0448759025495613,-1.5959249560358,0.110505548975419,0.184910854763338
SPAC1039.04,NA,1239.69884251328,-0.448124072969104,0.0531661167178796,-8.42875313514108,3.49367733810801e-17,2.46774064645698e-16
SPAC1039.05c,klf1,1606.30327895123,-0.331446286558399,0.057264720793635,-5.78796651699102,7.12436075218816e-09,3.07565059239969e-08
SPAC1039.06,NA,2199.52714352735,-0.154643478215917,0.0495267803195849,-3.1224213893582,0.0017937000023791,0.0044744687745249
SPAC1039.07c,NA,1616.84863083283,0.109582712981751,0.0528612875448894,2.07302390976939,0.0381700544553048,0.0732762528685692
SPAC1039.08,NA,548.710212043651,0.164317281618643,0.0833668636044271,1.9710143156917,0.0487222383821914,0.0910060517962833
SPAC1039.09,isp5,581.080907368814,-0.125400049525302,0.104240026178739,-1.20299326585241,0.228978926507068,0.336277713688876
SPAC1039.10,mmf2,250.905742168065,0.602724803115539,0.105385362651824,5.71924589856795,1.06997854753259e-08,4.56127757640123e-08
SPAC1039.11c,gto1,2243.96229259102,-0.0109908016505343,0.0419875855204009,-0.261763126274411,0.7935040690142,0.867839067961534
SPAC105.01c,kha1,2547.58268137463,0.452645688688584,0.0528557797382616,8.5637879325602,1.09218643862522e-17,7.89638241258923e-17
SPAC105.02c,NA,7000.57540332354,0.212713851680762,0.0386936359924475,5.49738597123003,3.85462405268404e-08,1.57900262399105e-07
SPAC105.03c,NA,3701.47369128087,-0.0577274470588937,0.0365613819392166,-1.57891862935777,0.114354722364744,0.190275226976793
SPAC1071.01c,pta1,5854.81435661896,-0.175097178713569,0.0334177450990178,-5.23964672645479,1.60884285628035e-07,6.28352782738491e-07
SPAC1071.02,mms19,2846.91673676448,-0.532986201474692,0.0514704410640542,-10.3551900946681,3.96398350831022e-25,4.09752773496652e-24
SPAC1071.03c,sil1,3758.89063510425,-0.288827884533052,0.0460554171845892,-6.27131187142299,3.58018692117975e-10,1.69191402961838e-09
SPAC1071.04c,spc2,360.344051495067,-0.0303771486868325,0.0878777624046732,-0.345675036045491,0.729586947353642,0.819702044986051
SPAC1071.05,hpm1,3741.19925975932,-0.340708626314898,0.0585417922109063,-5.81992134930615,5.88753251279153e-09,2.55661577531645e-08
SPAC1071.06,arp9,3735.34101485263,-0.334682668092217,0.034218018830731,-9.78088970456819,1.36009631972125e-22,1.2543996849042e-21
