,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SPNCRNA.1641,vps13a-antisense-2,246.55021700309,-4.13571148003941,0.234363007546254,-17.6466052528498,1.08059548728946e-69,5.23583496898888e-68
SPNCRNA.1307,SPBPB10D8.02c-antisense-1,458.039114258875,-2.78484065541406,0.155191485188783,-17.944545424167,5.29420133691739e-72,2.70124590940444e-70
SPBC359.02,alr2,2991.09635922294,-2.57238692405172,0.0873603841002624,-29.4456915516698,1.42946922617494e-190,2.60202033467249e-188
SPCC736.08,cbf11,3361.52833739993,-2.56468420256106,0.0681182977706721,-37.6504446895511,0,0
SPNCRNA.1371,SPBC354.08c-antisense-1,383.696352766731,-2.49475709108262,0.156502826471898,-15.9406519826054,3.30883496907148e-57,1.24497226350259e-55
SPNCRNA.577,SPBC1652.02-antisense-1,417.259368963623,-1.97444994291035,0.148473318280766,-13.2983485906648,2.36637215105093e-40,4.6062186235052e-39
SPAC186.01,pfl9,300.623810160911,-1.80461037934337,0.17063646619749,-10.575760384388,3.86033253307418e-26,3.87471529213928e-25
SPCC1281.06c,ole1,42247.8242756219,-1.66663401256772,0.0675357689816834,-24.6777972280101,1.85194009044551e-134,1.78183092987865e-132
SPNCRNA.1626,NA,5042.82984506085,-1.65930423645292,0.0690314507524799,-24.0369312590944,1.14358546989116e-127,1.02693975196227e-125
SPAC683.02c,NA,2729.46006901871,-1.59113056409725,0.0703625348248907,-22.6133206834724,3.20497007799759e-113,2.63237481406265e-111
SPAC869.01,NA,18.2438092372978,-1.56020849111315,0.677664439292691,-2.30233195169811,0.0213164592600162,0.0396045112044714
SPNCRNA.117,NA,18.6704203588977,-1.51200246789355,0.657878944468946,-2.29829892050136,0.0215447818581918,0.0400176794856376
SPBC18H10.02,lcf1,21828.0640849445,-1.48987510193358,0.0487107333624321,-30.5861767846557,1.86905564929075e-205,3.70237935234505e-203
SPBPB7E8.01,NA,9094.0676389415,-1.4844877606809,0.054997847231693,-26.9917430481797,1.8474904923363e-160,2.39285547420865e-158
SPCC569.04,NA,40.0560602480936,-1.48133826751682,0.445411071403897,-3.32577783225677,0.00088172177401716,0.0021338110485108
SPAC3A11.07,nde1,18146.7299681569,-1.47219425818279,0.0564512261727452,-26.0790483749238,6.30279577087578e-150,7.44725079242955e-148
SPBPB10D8.03,NA,351.917701650729,-1.46383129964553,0.156975575837672,-9.32521694431793,1.10756776412466e-20,8.95494464751453e-20
SPBC1778.04,spo6,197.512368737179,-1.45319412644403,0.207814909552272,-6.99273276193162,2.69582725658194e-12,1.42180082796236e-11
SPBC1703.13c,NA,14563.1124883126,-1.4430447802123,0.0500452652779192,-28.8347913074006,7.86092257117797e-183,1.26055508373532e-180
SPBC359.03c,aat1,5165.68496578923,-1.43726327250609,0.0710481317050936,-20.2294309225734,5.39216514380647e-91,3.70573798403435e-89
SPNCRNA.1310,NA,94.5386815085866,-1.4208116669824,0.291295637508214,-4.87755902950088,1.07406710716469e-06,3.70776113108877e-06
SPAC56E4.04c,cut6,25414.4914462624,-1.40317975177499,0.052307636237638,-26.825524009539,1.62831457287276e-158,2.06918842420717e-156
SPNCRNA.293,NA,343.70555537361,-1.37337276512277,0.166029722046176,-8.27184884848997,1.31897455379481e-16,8.84790201176102e-16
SPCP20C8.03,NA,245.270425515451,-1.36544404178541,0.184200112494408,-7.41282957591495,1.23632721402537e-13,7.10466193384031e-13
SPNCRNA.1299,NA,201.714602915298,-1.36309964440043,0.198747928204621,-6.85843448389083,6.9619246529636e-12,3.56838375477244e-11
SPBC21C3.08c,car2,82030.0998307324,-1.35624690351173,0.0515912437695926,-26.2883156988568,2.60857800835267e-152,3.13728087254557e-150
SPNCRNA.1519,NA,30.2247917298004,-1.33693914045267,0.508558348632504,-2.62888052874888,0.00856664513224839,0.017321031211556
SPCC1442.05c,mic26,2354.37830586134,-1.33007077313502,0.0756940463159236,-17.5716696077221,4.06044603529559e-69,1.95336457483684e-67
SPNCRNA.711,rad52-antisense-1,61.3569306696629,-1.32945410542869,0.355593234656112,-3.73869347293511,0.000184979105899936,0.000493595197399394
SPBC16H5.06,rip1,10540.202382878,-1.31362708830678,0.0522821919399701,-25.1257080004426,2.60508671131452e-139,2.65837257586414e-137
SPAC1039.02,NA,23670.1064845575,-1.30662596297869,0.057951829987015,-22.5467593218619,1.44485968956377e-112,1.15846785823952e-110
SPCC737.02c,qcr7,7437.10036455634,-1.30340394965017,0.0574884772206425,-22.6724382461491,8.3820726684716e-114,6.9695382002662e-112
SPBC359.04c,pfl7,985.713737271126,-1.29247324371166,0.100590285636667,-12.8488873009078,8.72562819576228e-38,1.47656044971002e-36
SPCC1020.09,gnr1,879.993644671266,-1.26331537266047,0.123575283273174,-10.2230424984566,1.56354867625437e-24,1.46664350063693e-23
SPNCRNA.1635,did2-antisense-1,172.030033870651,-1.26260605296021,0.217395972686542,-5.8078631234845,6.32752110384354e-09,2.66349091464914e-08
SPAC4G9.20c,ymc1,5070.64497018643,-1.25183656937097,0.0586096004001419,-21.3588995800071,3.22314885218714e-101,2.43909073252589e-99
SPAC17A2.02c,NA,6996.06437002809,-1.22844329149578,0.0562586408813001,-21.8356375527746,1.06447306950112e-105,8.14684786714781e-104
SPBP4H10.11c,lcf2,4901.89583871474,-1.20895077250413,0.067952433008855,-17.7911329877855,8.27888939022777e-71,4.19235489046496e-69
SPAC22A12.06c,fsh2,5860.74404435832,-1.18601485167006,0.0590529156606429,-20.0839338481724,1.01989365637665e-89,6.73429781931056e-88
SPNCRNA.573,exg3-antisense-1,151.073393045896,-1.16736155212616,0.231152122752132,-5.05018746195093,4.41376703238794e-07,1.59478116755004e-06
SPNCRNA.1690,cao2-antisense-1,1901.72129585953,-1.13824069675989,0.0817454573583526,-13.9242073326487,4.51522985830123e-44,1.02047225153217e-42
SPAC15A10.17,coa2,1319.62612394619,-1.13572806676044,0.087385705727198,-12.9967259211245,1.27694102788822e-38,2.25726976977092e-37
SPRRNA.40,NA,52.4023378775197,-1.13261939678536,0.388803822694175,-2.91308709090613,0.00357874776215472,0.00778516349422223
SPNCRNA.1105,rhp16-antisense-1,557.555877091204,-1.10410171343454,0.128550458205145,-8.58885863847003,8.78375089725527e-18,6.24035467225889e-17
SPNCRNA.692,SPAC521.02-antisense-1,207.857258313882,-1.09871310756696,0.208125160455528,-5.27909794837964,1.29821398569271e-07,4.94540225884638e-07
SPCC338.10c,cox5,9367.78563197799,-1.08137033984417,0.0576693617119048,-18.7512104823754,1.89234382716292e-78,1.08931074153353e-76
SPNCRNA.1034,NA,151.471376843232,-1.08044238003711,0.226833385382933,-4.76315414599635,1.90590136459802e-06,6.43420836619933e-06
SPNCRNA.839,SPAC4A8.10-antisense-1,858.206942487864,-1.07562256815766,0.107924703219479,-9.966416733806,2.13803576748387e-23,1.90220223170461e-22
SPBC13E7.04,atp16,8187.6276535451,-1.07558014339168,0.0549655746195958,-19.5682506884632,2.88412325882881e-85,1.86774712963577e-83
SPAC1782.07,qcr8,8841.94382986399,-1.07336960288498,0.0563491325361815,-19.0485559328847,6.7539740349981e-81,4.06142992193859e-79
SPCP20C8.02c,NA,585.668394961192,-1.06805196810894,0.121314813457303,-8.80396991654156,1.32059802058631e-18,9.81702833184198e-18
SPBC17D1.06,dbp3,15553.0200408407,-1.06645301581753,0.0522508096893446,-20.4102677481573,1.35540196745296e-92,9.6090865797849e-91
SPAC27F1.06c,ani2,9167.19926993813,-1.06396430694515,0.0544880368516855,-19.5265670855646,6.52831457958974e-85,4.18744749462256e-83
SPBC1306.01c,mef1,5546.61859743476,-1.06381339029414,0.0585174128054807,-18.1794330831131,7.51061815126802e-74,3.89107794221462e-72
SPNCRNA.977,SPAC27F1.05c-antisense-1,612.10228968295,-1.05466745821879,0.121820633283605,-8.65754371645291,4.8203869140403e-18,3.47222522631673e-17
SPAC3H1.06c,NA,3135.13054004544,-1.04789366545729,0.0719018229407547,-14.5739512935678,4.11391550824177e-48,1.12174983595175e-46
SPNCRNA.284,NA,45.8826301438138,-1.04635252093627,0.405121654027058,-2.58281064597547,0.0097999092801285,0.0195794687041428
SPBC29A3.18,cyt1,12954.7033520985,-1.03868004121389,0.0509070995899888,-20.4034417513379,1.55850666800925e-92,1.09338983427524e-90
SPBC2F12.17,cox7,2122.7125731495,-1.03759942271399,0.0744967502518806,-13.9281165850291,4.27480002632574e-44,9.69386470616291e-43
SPAC977.07c,pfl6,68.4412639510854,-1.03580841136991,0.33758421061831,-3.06829637995436,0.00215282986118057,0.00485738998829183
SPBC215.06c,NA,2550.9077987645,-1.03175111621512,0.0726752600373436,-14.1967309877524,9.59866763668291e-46,2.36802294992892e-44
SPBC25B2.05,mis3,7350.55865942548,-1.0265488510322,0.0562995929188129,-18.2336815918464,2.78898375683737e-74,1.46748481267966e-72
SPNCRNA.1096,SPCC1884.01-antisense-1,1922.51004035973,-1.0158317390361,0.078907841199934,-12.8736475816417,6.33388184310719e-38,1.07996694210954e-36
SPBC8E4.05c,NA,133.816429059622,-1.0146355863181,0.244731789797947,-4.14590841327067,3.3846910767754e-05,9.967597027583e-05
SPNCRNA.130,omt3,85.4876438203352,-1.00823720986929,0.308814728610178,-3.26486114961832,0.00109517748462351,0.00260636761799977
SPNCRNA.1397,num1-antisense-1,316.962220489324,-1.00502986862603,0.171215850100594,-5.86995811448266,4.35905251718469e-09,1.85576603686718e-08
SPBP23A10.15c,qcr1,21827.8664758216,-0.990781312047135,0.0490889018216855,-20.1834075581102,1.36970576105947e-90,9.31814979872272e-89
SPBPJ4664.02,NA,2318.43484537808,-0.985812867949852,0.0914507275068484,-10.7797159719263,4.29208990954902e-27,4.49568048846231e-26
SPCC1529.01,NA,1378.07984526767,-0.980791685031577,0.0871452355069648,-11.2546793789224,2.19623338647635e-29,2.52848407827662e-28
SPBC25H2.09,mic19,1569.97020571249,-0.980656009774898,0.0839119417244517,-11.6867276530813,1.49018277651759e-31,1.87245914176231e-30
SPBC1347.02,ani1,26144.1173328986,-0.977422707767662,0.052308150286118,-18.6858587509079,6.45320216223715e-78,3.65229550946783e-76
SPAC23C4.06c,efm6,2745.55585270439,-0.976239126862638,0.0691343494269391,-14.1208984383996,2.82368266676873e-45,6.81630923322129e-44
SPNCRNA.923,NA,196.685033658247,-0.974356078434792,0.201214810730751,-4.84236759161131,1.28301129418161e-06,4.39973577714519e-06
SPCC297.04c,set7,1352.79432155959,-0.973442020381829,0.0868510558218701,-11.2081771622712,3.71770778990225e-29,4.24385796016807e-28
SPBC29A10.13,atp7,4594.6882128732,-0.967390312346355,0.0618799980946158,-15.6333280887823,4.3165632451199e-55,1.51416945082722e-53
SPCC1739.09c,cox13,7231.94623740048,-0.963937114780421,0.0604980278394062,-15.9333642633644,3.71803144191807e-57,1.38347744537669e-55
SPBC1348.14c,ght7,51.6784856494282,-0.954107908255383,0.380061115451332,-2.51040653586031,0.0120592240570773,0.0236720705404884
SPAC1039.01,NA,3086.98112702448,-0.948516308403993,0.071691363400872,-13.2305519578451,5.84564978667801e-40,1.12166527958052e-38
SPBC14F5.05c,sam1,63719.1517497547,-0.94834388520403,0.0544078273345586,-17.430284054031,4.8603958663433e-68,2.28914448670085e-66
SPAC2E1P3.05c,NA,11665.1298775976,-0.944363481068137,0.0598297254170412,-15.784185444367,3.99776705159904e-56,1.43217878151699e-54
SPBC887.17,NA,11036.8940144427,-0.941456791295543,0.0529851500986874,-17.7683141322056,1.24372648767454e-70,6.20481325517631e-69
SPAPB18E9.05c,NA,7525.17947684608,-0.94041255526474,0.0683368591102687,-13.7614249104906,4.34870439961853e-43,9.47848677392582e-42
SPSNORNA.39,snR36,79.7852747345421,-0.93936963205747,0.310952826345656,-3.02093935950679,0.00251991821639253,0.00560860845585053
SPAC23D3.12,NA,7885.73079416031,-0.938941199992132,0.0580957444847403,-16.1619617464195,9.35370537708495e-59,3.62052906406133e-57
SPNCRNA.804,atg12-antisense-1,274.252384302439,-0.935103833310445,0.179665320042527,-5.20469856447034,1.94311755853578e-07,7.28669084450919e-07
SPBC11G11.05,rpa34,5128.20841808537,-0.931394533879676,0.0622315923789344,-14.966586877744,1.21393383306993e-50,3.66629792185023e-49
SPAC19A8.07c,imp4,5814.22964095342,-0.928349487826049,0.0586822792287805,-15.8199289466375,2.26748414817442e-56,8.25486796646202e-55
SPAC144.01,NA,1893.00511453052,-0.924406107985539,0.0774732082827221,-11.9319456167623,8.06658068746275e-33,1.07581031544677e-31
SPBC11G11.03,mrt4,14945.4472134703,-0.923728160251041,0.0525819954988566,-17.5673850238553,4.37896874911652e-69,2.09165634931204e-67
SPNCRNA.1444,NA,119.11316531622,-0.922317321664992,0.285632966747527,-3.22902966057218,0.00124211011537436,0.00292913572375571
SPBC26H8.08c,grn1,18334.316219028,-0.920543933453423,0.0519171479036551,-17.7310189527691,2.41615431193077e-70,1.1965293596216e-68
SPAC3H1.07,aru1,65195.1065538889,-0.918447256949907,0.0494979640073547,-18.5552532385663,7.39580405652797e-77,4.04965368461104e-75
SPAC19G12.05,mce1,4403.85486742456,-0.912797696247553,0.062233896621461,-14.6672110505897,1.04554998985345e-48,2.94635112203472e-47
SPAC30C2.02,mmd1,7777.82465048549,-0.906463584663602,0.057379741799703,-15.7976239737679,3.23065561726684e-56,1.16355430921349e-54
SPNCRNA.916,NA,212.168678999162,-0.905406061111425,0.192304949885917,-4.70817865920013,2.4993999417338e-06,8.3128190654702e-06
SPAC22E12.13c,rlp24,8495.90759030852,-0.903878255353062,0.0536990812926721,-16.8322852755473,1.41532336530235e-63,6.03303978817174e-62
SPAC8F11.04,NA,11496.761628039,-0.903140549819602,0.0567052240055236,-15.9269373441083,4.12050802951954e-57,1.52481437246231e-55
SPBC1348.08c,NA,65.4019807856474,-0.898156406145808,0.357316956808788,-2.51361260368743,0.0119501621831844,0.023492219002845
SPBC20F10.01,gar1,28557.9085271541,-0.896860537103356,0.0478659817909683,-18.7369088347538,2.47600365423581e-78,1.41321056027781e-76
SPAC222.06,mak16,7353.5275099521,-0.894657010241502,0.0585975580481837,-15.2678207086009,1.25290727609962e-52,4.11625878269801e-51
SPNCRNA.1643,SPBC21C3.09c-antisense-1,4028.93374214703,-0.892806256943046,0.0731164100290509,-12.2107507273444,2.72364342198981e-34,3.91124487145019e-33
SPAC57A10.12c,ura3,20487.4422891649,-0.891667525097974,0.050816252748876,-17.5468964526846,6.28203198463609e-69,2.97954122651578e-67
SPBC646.07c,tsc13,6503.26174213932,-0.889793566334275,0.057092829901513,-15.5850317433765,9.20176298185295e-55,3.21108153796785e-53
SPCC191.07,cyc1,22156.2916511776,-0.886880485340754,0.0487158804282625,-18.2051617982507,4.69664061300162e-74,2.45208329678806e-72
SPCC18.12c,utp23,3665.88553042692,-0.885660367353955,0.064236761135683,-13.7874380914572,3.03342417225251e-43,6.67650712422243e-42
SPNCRNA.1130,NA,246.993789107287,-0.882131732143639,0.180809393541203,-4.87879371124939,1.0673662761789e-06,3.68841040023853e-06
SPAC1071.08,rpp203,25808.0554545461,-0.880810412917721,0.0532226859136407,-16.5495295436034,1.61358625249731e-61,6.6265264698594e-60
SPCP31B10.08c,rpl35a,53255.4653456369,-0.87870136543372,0.0497010465644099,-17.67973566301,6.00772075862295e-70,2.93202893545838e-68
SPNCRNA.733,SPAC1565.03-antisense-1,173.844634023403,-0.877577283153541,0.215141340664184,-4.07907322899582,4.52155936453796e-05,0.000130967935562759
SPBC19F5.05c,ppp1,17726.8717615118,-0.87594469626982,0.0514571905295642,-17.0227851006859,5.56590157852884e-65,2.48253954512528e-63
SPBC16C6.08c,qcr6,13084.8808756058,-0.875575724539336,0.0507401319430548,-17.2560789854072,1.00722476446309e-66,4.55279113332812e-65
SPAPB15E9.01c,pfl2,48496.0290320473,-0.874258187696704,0.047857685676291,-18.2678743307852,1.49148279105277e-74,7.90955637617357e-73
SPAC12G12.02,efg1,4564.52947002856,-0.872920905996211,0.0606604396606672,-14.3902832040009,5.95515589698465e-47,1.53670402169317e-45
SPCC1884.01,NA,608.310298924554,-0.871050373846595,0.12016573207169,-7.24874187365609,4.20660690863054e-13,2.32989288894956e-12
SPAC18B11.06,lcp5,5329.21793434678,-0.865693948519247,0.0586916017074764,-14.7498777224369,3.08222642148251e-49,8.87127989260029e-48
SPBC1604.07,atp4,9798.29246444982,-0.864930458635179,0.0530683065739427,-16.2984371364861,1.0124808914843e-59,4.01121106126281e-58
SPBC1718.03,ker1,5054.46278596234,-0.864882505076237,0.0585536508964987,-14.770769915014,2.26115093716159e-49,6.621239809471e-48
SPAC222.12c,atp2,43647.6525564508,-0.860588309264905,0.0470308960113233,-18.2983609127436,8.52760437160513e-75,4.55820757482227e-73
SPAC1B9.03c,NA,7111.08523659688,-0.858917483908543,0.0559128098988253,-15.3617299052357,2.95581014472846e-53,9.95369066237309e-52
SPCC1450.16c,ptl1,3934.96969666482,-0.858526566087185,0.0652466833336239,-13.158164096975,1.52752536094375e-39,2.88985486122364e-38
SPAC4F8.04,NA,5289.81936529301,-0.853754122782939,0.0594842653670321,-14.3526042982135,1.02610446643477e-46,2.61773241721142e-45
SPBC23E6.05,arx1,7490.00794548493,-0.852342066852573,0.0558748695843395,-15.2544797543736,1.53715269437332e-52,5.02559388184677e-51
SPAC57A10.10c,sla1,17566.0474577913,-0.848172041359525,0.0507335205721406,-16.7181782733462,9.66280589565978e-63,4.09301872372758e-61
SPBC29A3.16,rrs1,3831.67645976585,-0.848115651280416,0.0630197581719646,-13.4579324942207,2.76546316708958e-41,5.51047172495512e-40
SPAC110.01,ppk1,1819.6855347916,-0.842699181100499,0.0919328271064132,-9.16646651282752,4.88777909520404e-20,3.85470634733012e-19
SPCC4G3.17,hdd1,5044.66840080096,-0.841032092504735,0.0587551128027502,-14.314194159208,1.78420280854246e-46,4.51752102087724e-45
SPCPB1C11.01,amt1,1711.52496967617,-0.838511125514028,0.100051950496905,-8.3807574100214,5.25881883503689e-17,3.59210394056526e-16
