,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SPAC1002.01,mrx11,231.355143384882,0.281103182569234,0.162333395970504,1.73164111357783,0.0833374812322824,0.152956707720911
SPAC1002.02,pom34,2152.28475704406,0.106285064115794,0.0653508296684869,1.62637666047943,0.103869552736724,0.184237167627461
SPAC1002.03c,gls2,8820.51159280501,0.00771992826579102,0.0559787503685623,0.13790819221514,0.890312975825725,0.931590405849735
SPAC1002.04c,taf11,1312.08913394688,-0.146884426826472,0.0718617394187984,-2.04398652209702,0.0409548786485197,0.0828607461046374
SPAC1002.05c,jmj2,1077.89831648599,0.252564976748307,0.0819014592464517,3.08376650516455,0.00204397947386194,0.00546603819047859
SPAC1002.06c,bqt2,15.8704090161201,1.03672117769039,0.731031178625538,1.4181627377913,0.156143258035017,0.256538304932339
SPAC1002.07c,NA,4657.2414174431,0.376254157587841,0.0616847707171789,6.09962804778744,1.06315564346972e-09,5.59195669969477e-09
SPAC1002.08c,mtf1,1777.72455196471,-0.0647922301449271,0.0725772950308978,-0.892734154908138,0.371999555097614,0.505801390469127
SPAC1002.09c,dld1,13204.8069585085,-0.18226031495373,0.0488785642286423,-3.72883937631964,0.000192363712883549,0.00060749443492339
SPAC1002.10c,sgt1,1884.1171913357,0.143286379796398,0.06275652042242,2.28321103260544,0.0224179405605046,0.0486232826276605
SPAC1002.11,gaa1,1571.76886987982,0.15880464908151,0.0872407954631736,1.82030262606381,0.0687129317033225,0.130501780240543
SPAC1002.12c,NA,3599.25189950377,0.904803505903073,0.0865021536972498,10.4598957046758,1.3200088311361e-25,1.78293441867557e-24
SPAC1002.13c,psu1,29670.6782735677,-0.5891368291407,0.0682649786471829,-8.63014741695832,6.12729497772797e-18,5.47337358094523e-17
SPAC1002.14,itt1,2472.92533314123,0.275401013992105,0.0642778417691084,4.28454046390309,1.83117280618824e-05,6.55178960948535e-05
SPAC1002.15c,med6,1568.16682437093,-0.351746583857057,0.0670166825931964,-5.24864213276899,1.53224398937336e-07,6.79505782521436e-07
SPAC1002.16c,tna1,326.665167696603,-0.276697417825747,0.159289015691763,-1.73707783065958,0.0823734338827626,0.151493010756707
SPAC1002.17c,urg2,5016.05847145779,-1.91256541464107,0.335540558365554,-5.69995300704431,1.19840458672065e-08,5.83022460267299e-08
SPAC1002.18,urg3,5140.43837454808,-1.23987075971138,0.0850774370161187,-14.573438072382,4.14494563953054e-48,1.61988132897829e-46
SPAC1002.19,urg1,5722.0941756912,-0.884403959370314,0.306385834169022,-2.88656935386386,0.0038946690082728,0.00988074738852979
SPAC1002.20,NA,41.5562765587373,1.46459795051648,0.380331601218612,3.85084475185284,0.000117711102384559,0.000382768130421493
SPAC1006.01,psp3,8256.64626121393,1.13824400221327,0.0878074875687322,12.9629492168569,1.98467617195864e-38,5.02312088283817e-37
SPAC1006.02,asa1,1605.8488262258,-0.47882236157662,0.0618295025297602,-7.74423765331363,9.61570116665864e-15,7.068803831368e-14
SPAC1006.03c,red1,3603.57422731743,-0.239859475971832,0.0588373090098019,-4.07665612191531,4.56879833347726e-05,0.000156665568660849
SPAC1006.04c,mcp3,374.321895796436,-0.0763715770678055,0.114106351425561,-0.669301718210029,0.503303030978174,0.631951293342679
SPAC1006.05c,och1,2209.5592427407,0.3237303186736,0.0711090185034359,4.55259157680482,5.29890827021973e-06,2.01962692407442e-05
SPAC1006.06,rgf2,6055.79082047298,0.219181299343961,0.0733556560211821,2.98792637449348,0.00280877208528485,0.00733232987882562
SPAC1006.07,tif1,87836.563156601,-0.561354476179816,0.0541902185657526,-10.3589631309327,3.8107043111335e-25,5.00714299472795e-24
SPAC1006.08,etd1,1724.97695504161,-0.308665337063731,0.0972196651701642,-3.17492697103485,0.00149874215530737,0.00413916059000191
SPAC1006.09,win1,4935.27211705234,0.183225913374506,0.0739182515591431,2.47876416865602,0.0131838443214279,0.0301996442634706
SPAC1039.01,NA,1803.69398970164,-1.5466054421378,0.0855431597375864,-18.0798259835409,4.59529858533897e-73,4.48147008827094e-71
SPAC1039.02,NA,12667.3535202627,-1.65353392078391,0.0870122574611171,-19.0034596162824,1.59664760362828e-80,1.92867773029189e-78
SPAC1039.03,NA,2280.34501504561,0.0253450147519268,0.0646218652778345,0.392204939349223,0.694906794844314,0.790233472500856
SPAC1039.04,NA,1239.69884251328,-0.479250889051767,0.0774605728300339,-6.18703001465471,6.13082953665368e-10,3.28481441404378e-09
SPAC1039.05c,klf1,1606.30327895123,-0.367301163890013,0.0806961170743892,-4.55165845899896,5.32246885103482e-06,2.02642707329872e-05
SPAC1039.06,NA,2199.52714352735,-0.180919281277078,0.0705574706575647,-2.56414068688957,0.0103431610352444,0.0241590423653368
SPAC1039.07c,NA,1616.84863083283,-0.141099560671769,0.078604976147169,-1.79504616104194,0.0726463455942332,0.136750602738923
SPAC1039.08,NA,548.710212043651,-0.0976536084568547,0.128775264497699,-0.75832582319099,0.448255951830502,0.579044934737907
SPAC1039.09,isp5,581.080907368814,-0.137138811471434,0.154213797822016,-0.889277181473156,0.373854131788151,0.507803401598268
SPAC1039.10,mmf2,250.905742168065,0.133597386132486,0.177362790825603,0.753243594728106,0.451303546851701,0.5817798572682
SPAC1039.11c,gto1,2243.96229259102,-0.194518033007206,0.0621905808620381,-3.12777321438306,0.00176136030670577,0.0047836637864799
SPAC105.01c,kha1,2547.58268137463,0.676833864635196,0.0746478103498724,9.06702904563299,1.2230631916568e-19,1.19605903655122e-18
SPAC105.02c,NA,7000.57540332354,0.126648706563733,0.0542717307459396,2.33360360583689,0.0196164876146486,0.0433070121170746
SPAC105.03c,NA,3701.47369128087,0.108640430227374,0.0514893390339032,2.10995969778986,0.0348618274471698,0.0718180670084138
SPAC1071.01c,pta1,5854.81435661896,0.0210538201049925,0.046549504772978,0.452288809680619,0.651060936423855,0.756699951255803
SPAC1071.02,mms19,2846.91673676448,-0.177090800991448,0.067970481097383,-2.60540749649434,0.00917650488380158,0.0216240848846843
SPAC1071.03c,sil1,3758.89063510425,-0.199460736691236,0.06374992849439,-3.128799379105,0.00175522104177913,0.00477064681005167
SPAC1071.04c,spc2,360.344051495067,0.0295667856752483,0.121889404616395,0.242570597241816,0.808338060994458,0.874543601132944
SPAC1071.05,hpm1,3741.19925975932,-0.102011645793867,0.0793428735042943,-1.28570646976059,0.198545522454183,0.311059528914955
SPAC1071.06,arp9,3735.34101485263,-0.274757853683417,0.0484210785526817,-5.67434394061426,1.3922116757337e-08,6.72997276627976e-08
SPAC1071.07c,rps1502,34274.8019417541,-0.961250477789638,0.0806930124318828,-11.9124376302233,1.01952473111416e-32,1.9633238934318e-31
SPAC1071.08,rpp203,10971.5793347163,-1.23281401662748,0.124693612442799,-9.88674553953605,4.75226333097253e-23,5.56349771015837e-22
SPAC1071.09c,NA,2022.75870538993,-0.206564160025537,0.0873690978628433,-2.36427026349537,0.0180656281290044,0.0401248698310315
SPAC1071.10c,pma1,169688.305677596,-0.44112825319025,0.0890244907428163,-4.95513368860071,7.22805743726141e-07,3.01547294184022e-06
SPAC1071.11,NA,1749.39895864972,0.0480700176271696,0.0641141530528321,0.749756728246232,0.453401234581838,0.583917509523254
SPAC1071.12c,stp1,1440.52424317137,-0.705603443073881,0.0766233176996093,-9.20872998269401,3.30006190274788e-20,3.34729561318797e-19
SPAC1071.13,NA,826.153660514017,0.447511248249743,0.110877671693668,4.03608085752491,5.43514911585382e-05,0.000184882032324883
SPAC1093.01,ppr5,5652.2677002204,0.138499137864153,0.0673458011366701,2.05653708956681,0.0397307750524674,0.0806758622364333
SPAC1093.02,pdx3,4494.33541023645,-0.178379691377109,0.0625917309741716,-2.84989228770038,0.00437340370010854,0.0109955726897242
SPAC1093.03,fig4,2938.17525160546,0.133946218415568,0.0550904495641197,2.43138728174052,0.0150411275864025,0.0339730941249337
SPAC1093.04c,cca1,2392.54483361751,-0.228868970977717,0.0583626287737339,-3.92149866766659,8.79999351722396e-05,0.000291595795162378
SPAC1093.05,hca4,5314.25363794245,-0.852211051346746,0.0519064631535314,-16.4182068970108,1.41692422568461e-60,8.80813129767682e-59
SPAC1093.06c,dhc1,1519.70188955055,-0.0151931057551196,0.0950871847207064,-0.159780792750835,0.873053754844107,0.919960489095247
SPAC1093.07,NA,474.128030198529,0.926119850175845,0.122903265016504,7.5353559569917,4.87004509398094e-14,3.41481394122806e-13
SPAC10F6.01c,sir1,30453.891863123,-0.461001838557375,0.0897788278122445,-5.13486141210791,2.82352009360647e-07,1.22506198347089e-06
SPAC10F6.02c,prp22,3933.74842132886,-0.0688237914760764,0.0608917096463104,-1.13026538219799,0.258364416857115,0.382083159598099
SPAC10F6.03c,cts1,24491.9555880298,-0.735008506635769,0.0613096100014378,-11.9884714095968,4.08371509071895e-33,7.97975945116589e-32
SPAC10F6.04,ats1,1773.41392372024,0.396853002276447,0.0658705711915242,6.02473904655485,1.6938268755903e-09,8.78739857858706e-09
SPAC10F6.05c,ubc6,3441.97273613312,0.575070480204492,0.0836530153703839,6.87447401218352,6.22189991585477e-12,3.84751577111903e-11
SPAC10F6.06,vip1,29921.5228168969,1.3861552304631,0.0825859235266747,16.7844006735043,3.17417541713533e-63,2.1221059549779e-61
SPAC10F6.07c,mug94,459.57249359596,-0.234863818696096,0.102387169366736,-2.29387940059996,0.02179742696323,0.0474322719793522
SPAC10F6.08c,nht1,1232.38942398744,-0.211370379805007,0.0791432064098221,-2.67073308491549,0.00756858039604674,0.018108037274359
SPAC10F6.09c,psm3,2924.67859671205,-0.0538335475884976,0.0703880248573917,-0.764811169194846,0.444383995872282,0.575862718044905
SPAC10F6.10,rio1,2697.51060881108,-0.628136095214687,0.0699678096941376,-8.97750119605812,2.76985654619833e-19,2.64542453603668e-18
SPAC10F6.11c,atg17,3256.48681564956,1.08772475661656,0.0847449936216767,12.8352686115293,1.0404149558131e-37,2.5250253379665e-36
SPAC10F6.12c,mam4,1458.04191271366,-0.562824191724947,0.0765385006518418,-7.35347814409274,1.93114595419342e-13,1.30337025352864e-12
SPAC10F6.13c,caa1,8186.67785214469,0.0621347654645201,0.0648422046835232,0.958245725415764,0.337938864894531,0.468661465600634
SPAC10F6.14c,NA,2804.4341629764,-0.140993395688381,0.0529436857488138,-2.6630823618384,0.00774284599993864,0.0184833714303498
SPAC10F6.15,NA,39.1684787056388,0.575671420474026,0.390243423077551,1.47515982699759,0.140169579092377,0.235573537668296
SPAC10F6.16,igo1,6356.58023115662,0.400097665792721,0.0724193917350806,5.52473110042584,3.29990618419578e-08,1.54851417578935e-07
SPAC10F6.17c,NA,3537.13071429722,0.160920370974378,0.0580607477998126,2.77158626218896,0.00557838895821719,0.0136948299070509
SPAC110.01,ppk1,1863.29967857819,-0.999556077202257,0.110676169127219,-9.0313577447128,1.69554816009651e-19,1.64599789423068e-18
SPAC110.02,pds5,2097.21577175325,0.108335399655983,0.0711215302560489,1.52324337322268,0.12769782845443,0.21834130874547
SPAC110.03,cdc42,10502.0536745182,-0.351408089677719,0.0443035977599761,-7.93181834986732,2.15960168000532e-15,1.65751378039398e-14
SPAC110.04c,pss1,68699.1492803427,-0.239348108948175,0.0644222638435845,-3.71530111902472,0.000202961849270041,0.000637931536883658
SPAC110.06,NA,175.112529126681,-0.938824289578658,0.173023356424368,-5.42599744323559,5.76317837741235e-08,2.64404774069457e-07
SPAC1142.01,rqc1,4383.11859950241,-0.0796158131170625,0.0455150259759953,-1.74922042577878,0.0802529246622058,0.148280187609157
SPAC1142.02c,sgt2,5841.65437727453,-0.365199821662777,0.0504971109783576,-7.23209337301093,4.75604996626754e-13,3.14603678540286e-12
SPAC1142.03c,swi2,3181.41403825238,0.193936104039145,0.0610644417310183,3.17592527732278,0.00149359417934479,0.00412601510562243
SPAC1142.04,noc201,7960.6721206004,-0.920658746007908,0.0498279024664354,-18.4767710546932,3.17630649245117e-76,3.41051899138948e-74
SPAC1142.05,ctr5,11296.1391008409,0.507111078554584,0.174718786750132,2.90244162054429,0.00370266164579327,0.00942993242572614
SPAC1142.06,get3,7153.61444631754,-0.173965805337908,0.0397118606285646,-4.38070144748582,1.18297866763773e-05,4.33174758421943e-05
SPAC1142.07c,vps32,2797.64425127985,0.171456398245798,0.0550406014911776,3.11508947214686,0.00183889122114415,0.0049675765389485
SPAC1142.08,fhl1,2942.51744551404,0.348045797138684,0.0782356436950151,4.44868579972917,8.6397293248512e-06,3.2202076691153e-05
SPAC1142.09,NA,14.0856153206146,1.68071258142095,0.724365308546348,2.32025548654973,0.0203270605815286,0.044708597968477
SPAC11D3.01c,NA,2641.32015371729,2.38365896264003,0.215795012534502,11.0459409355391,2.29352125252226e-28,3.66618509989649e-27
SPAC11D3.02c,NA,2883.34076134208,-1.3558306107782,0.0769650162930259,-17.6161933834485,1.85045217323548e-69,1.52201414056432e-67
